Area,Loop,Loop Total Length,Loop Notes,Track No.,Track,Track Artist,Album,Loop Track Length,Track Notes,Album Track Number,Album Disc Number,Album Label,Dates,Holiday/Special Event
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,2,Fill & Spill Music,,Tokyo Disneyland: Mickey’s Philharmagic [2011],,Comprised of Be Our Guest/Sorcerer's Apprentice/Whole New World/Mickey Mouse March,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,3,Whistle While You Work,Neverland Orchestra,"Disney's Orchestral Collection, Vol. 3",,edited to include 00:19 - End,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,4,Fantasmic! Exit Music,Bruce Healey & Barnette Ricci,Disney’s 75 Years of Music and Memories Volume III,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,5,Colonel Hathi's March,The London Pops Orchestra & Conducted by Nelson Corbin,The Animated Classics,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,6,Give a Little Whistle/When You Wish Upon a Star,Columbia March Orchestra,Disney March,,Japanese album release (CD),1,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,7,Dodd: Mickey Mouse March-Arr. Bill Pape,Arthur Fiedler & The Boston Pops Orchestra,Evening at Pops,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,8,The Wonderful World of Disney Parade - Steamboat Willie,,Une Journee a Disneyland Paris OR The Best of Disneyland Resort Paris,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,9,Song of the South: Zip-A-Dee-Doo-Dah - Arr. Franklyn Marks,The Boston Pops Orchestra & Arthur Fiedler,Stars and Stripes: An American Concert,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,10,Following the Leader,Neverland Orchestra,Disney's Orchestra Collection,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,11,King Mickey (Mickey Mouse March),Walt Disney World Band,Walt Disney World Band,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,12,Cinderellabration Parade,,Tokyo Disneyland: Treasures of Fantasy (box set),,,2,10,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,13,Snow White and the Seven Dwarfs - Fantasy - Arr. Peter Bodge,The Boston Pops Orchestra & Arthur Fiedler,Salute to Disney,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,14,Casey Jr./Mickey Mouse Club March/You Can Fly! You Can Fly! You Can Fly!/A Spoonful Of Sugar,,Tokyo Disneyland Music Album [2001],,This is the Mickey Mouse Revue Load / Unload track. Edited to include 00.00 - 02.34,3,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,15,Alice in Wonderland,,Disney March,,Japanese album release (CD),4,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,16,There's a Great Big Beautiful Tomorrow,,Walt Disney and the 1964 World's Fair,,,1,1,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,17,Minnie's Yoo Hoo,Columbia March Orchestra,Disney March: Mickey Mouse March,,Japanese album release (CD),12,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,18,Hi Diddle Dee Dee,Neverland Orchestra,"Disney's Orchestra Collection, Vol. 2",,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,19,Mickey Mouse March,Neverland Orchestra,"Disney's Orchestra Collection, Vol. 2",,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,20,Who's Afraid of the Big Bad Wolf?,Columbia March Orchestra,Disney March: Mickey Mouse March,,Japanese album release (CD),8,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,"Disneyland Hotel Porte-Cochère [REF], Fantasy Tower Lobby v.3 [REF]",,,21,Mary Poppins Medley,Arthur Fiedler & Boston Pops Orchestra,From Fabulous Broadway to Hollywood's Reel Thing,,,,,,"November 1, 2011 → December 1, 2011",
Disneyland Hotel,Steakhouse 55 [REF],00:44:32.012,"This loop also seems to play around the Adventure Lawn activity/event area that is to the south of the Adventure Tower and east of the Frontier Tower, next to the Rose Court Garden. It was first documented as playing in the entryway to Steakhouse 55 in 2014. See MouseBits, https://mousebits.com/smf/index.php?topic=8539.msg80731#msg80731. Tracklist compiled by pixelated based on his reference recording prior to the formal reopening as “The Lounge at the Disneyland Hotel.”",1,Claude,Howard Rumsey’s Lighthouse All-Stars,Howard Rumsey: Music For Lighthouse Keepin' / In The Solo Spotlight!,,Available on SoulSeek,,,,,
Disneyland Hotel,Steakhouse 55 [REF],,,2,When You Wish Upon a Star,Gene Harris,Brotherhood (or Ballad Essentials: Gene Harris),,,,,,,
Disneyland Hotel,Steakhouse 55 [REF],,,3,Progress is the Root of All Evil,Shelly Manne,Li’l Abner,,,,,,,
Disneyland Hotel,Steakhouse 55 [REF],,,4,Strange Meadow Lark,The Dave Brubeck Quartet,,,,,,,,
Disneyland Hotel,Steakhouse 55 [REF],,,5,Give a Little Whistle (Mono Version),The Dave Brubeck Quartet,Dave Digs Disney,,,,,,,
Disneyland Hotel,Steakhouse 55 [REF],,,6,Moonlight Becomes You,Chet Baker,,,,,,,,
Disneyland Hotel,Steakhouse 55 [REF],,,7,Sweet Lorraine,Chet Baker & Art Pepper,The Route,,,,,,,
Disneyland Hotel,Steakhouse 55 [REF],,,8,Funny Frank,Howard Rumsey’s Lighthouse All-Stars,Howard Rumsey: Music For Lighthouse Keepin' / In The Solo Spotlight!,,Available on SoulSeek,,,,,
Disneyland Hotel,Steakhouse 55 [REF],,,9,If You Are There,Howard Rumsey’s Lighthouse All-Stars,Howard Rumsey: Music For Lighthouse Keepin' / In The Solo Spotlight!,,Available on SoulSeek,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,Unknown,"Based on a visit by monorail91 on 1/22/18 and posted on Magic Music, Re: https://community.magicmusic.net/threads/goofys-kitchen.5389/ (2018).",1,Kiss the Girl,Colbie Calliat,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,2,He Lives in You,Elijah Kelley,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,3,So This is Love,The Cheetah Girls,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,4,The Second Star to the Right,T-Squad,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,5,Colors of The Wind,Vanessa Hudgens,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,6,A Dream is a Wish Your Heart Makes,Disney Channel Stars,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,7,You’ll Be in My Heart,Teddy Geiger,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,8,Hakuna Matata,Baha Men,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,9,Part of Your World,Jessica Simpson,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,10,Unknown,,,,"“Couldn't make it out, but SoundHound said it was something from the Disney Ambassador Hotel album”",,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,11,"Beauty and the Beast ",Jump5,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,12,It's a Small World [RapMania! Mix] [Pop Version],Fan_3,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,13,"""Under the Sea",Mark Lennon,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,14,Somewday,Donna Summer,,,,,,,,
Disneyland Hotel,Goofy's Kitchen v.2,,,15,When You Wish Upon A Star,Kate Voegele,,,,,,,,
Disneyland Hotel,Blue Sky Suite,~00:09:54,"On the wall panels there is an option for BGM which plays over the suite's ceiling sound system. This track just loops and is the only track available. See MouseBits, https://mousebits.com/smf/index.php?topic=9422.msg88931#msg88931 (2016).",1,Music to Buy Toasters By (Medallion City),,Walt Disney and the 1964 World's Fair,,The end of the track loops to an unknown point in the track,8,1,Walt Disney Records,,
Disneyland Hotel,Trader Sam's Holiday [REF],~01:57:38,"Compiled by kkocka and others on MouseBits, https://mousebits.com/smf/index.php?topic=8201.msg77492#msg77492 (2013). Loop track lengths should be mostly accurate, which indicates that some edits are present. Verified by C33 on Magic Music, https://community.magicmusic.net/playlists/trader-sams-holiday.64/ (2017)",1,Polynesian Village Love Theme,The Tikiyaki Orchestra,"Aloha, Baby!",1:58,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,2,Blue Christmas,Jerry Byrd,Christmas in Hawaii,2:35,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,3,"Black Sand, Blue Sea",The Tikiyaki Orchestra,Stereoexotique,3:34,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,4,Jungle Bells,The Blue Hawaiians,Christmas on Big Island,2:57,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,5,Mele Kalikimaka,Jerry Byrd,Christmas in Hawaii,1:55,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,6,When First I Love,Martin Denny,Exotica! The Best of Martin Denny,2:25,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,7,Silent Night,Genoa Keawe,Santa's Gone Hawaiian,3:30,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,8,We Wish You a Merry Christmas,The Ventures,The Ventures' Christmas Album,1:09,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,9,Love Dance,Martin Denny,Exotica! The Best of Martin Denny,2:30,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,10,What Child Is This?,Jerry Byrd,Christmas in Hawaii,2:22,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,11,Have Yourself a Quiet Little Christmas,The Blue Hawaiians,Christmas on Big Island,4:12,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,12,Winter Wonderland,Jerry Byrd,Christmas in Hawaii,3:24,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,13,La Hula Rhumba,The Tikiyaki Orchestra,"Aloha, Baby!",2:51,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,14,Frosty the Snowman,The Ventures,The Ventures' Christmas Album,2:03,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,15,Martinique,Martin Denny,Exotica! The Best of Martin Denny,2:38,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,16,Away in a Manger,Jerry Byrd,Christmas in Hawaii,1:46,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,17,The Christmas Song,Los Straitjackets,'Tis the Season for Los Straitjackets,3:10,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,18,Jingle Bell Rock,Ozzie Kotani,Hawaiian Slack Key Christmas,2:59,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,19,Mele Kalikimaka,Arthur Godfrey & All The Little Godfreys,Christmas with Arthur Godfrey,1:32,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,20,Christmas Time is Here,The Blue Hawaiians,Christmas on Big Island,3:46,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,21,Oasis of Dakhla,Les Baxter,Exotic Moods of Les Baxter,3:43,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,22,Christmas Island,Jerry Byrd,Christmas in Hawaii,2:35,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,23,Hawai'i Nocturne,The Tikiyaki Orchestra,"Aloha, Baby!",3:15,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,24,White Christmas,The Blue Hawaiians,Christmas on Big Island,3:28,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,25,Christmas in Hawaii,Jerry Byrd,Christmas in Hawaii,3:07,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,26,In Search of Mei Ting,The Tikiyaki Orchestra,"Aloha, Baby!",4:05,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,27,Sleigh Ride,The Ventures,The Ventures' Christmas Album,1:37,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,28,Pool of Love,Lex Baxter,The Exotic Moods of Les Baxter,2:04,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,29,Silent Night,Jerry Byrd,Christmas in Hawaii,2:26,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,30,Jungle Flower,Martin Denny,Exotica! The Best of Martin Denny,1:43,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,31,Blue Christmas,The Blue Hawaiians,Christmas on Big Island,3:30,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,32,Rudolph the Red Nosed Reindeer,Arthur Lyman,With a Christmas Vibe,1:14,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,33,Exotic Night,Martin Denny,Christmas Cocktails Part Two,2:16,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,34,Jingle Bells,Genoa Keawe,Santa's Gone Hawaiian,2:35,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,35,Lahaina Morning Rain,The Tikiyaki Orchestra,"Aloha, Baby!",2:15,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,36,Silver Bells,Jerry Byrd,Christmas in Hawaii,2:27,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,37,Enchanted Xmas,The Blue Hawaiians,Christmas on Big Island,2:59,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,38,Santa Claus is Comin' to Town,The Ventures,The Ventures' Christmas Album,2:06,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,39,White Christmas,Jerry Byrd,Christmas in Hawaii,2:47,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,40,Tiki Diva,Kenny Sasaki and the Tiki Boys,Tiki Moon,4:51,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,41,Christmas Island,The Dinning Sisters & Bob Atcher,Christmas Cocktails Part Two,2:25,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,42,We Four Kings (Little Drummer Boy),The Blue Hawaiians,Christmas on Big Island,3:43,,,,,"November 1, 2011",
Disneyland Hotel,Trader Sam's Holiday [REF],,,43,Auld Lang Syne,Cyril Pahinui & Bob Brozman,Hawaiian Slack Key Christmas,3:00,,,,,"November 1, 2011",
Disneyland Hotel,"Disneyland Hotel Holiday v.1, Fantasy Tower Lobby Holiday v.1",00:34:56.973,"Preliminary listing, see MouseBits: https://mousebits.com/smf/index.php?topic=4845.msg42128#msg42128 (2010) and https://mousebits.com/smf/index.php?topic=8247.msg77610#msg77610 (2013). Begins with 1.61 sec. silent gap. Played 2010 and 2013 at least.",1,Sleigh Ride,Arthur Fiedler & the Boston Pops Orchestra,Christmas for the 90s , 2:57.053,,,,,,Christmas
Disneyland Hotel,"Disneyland Hotel Holiday v.1, Fantasy Tower Lobby Holiday v.1",,,2,Deck the Halls with Boughs of Holly,Percy Faith & His Orchestra,Music of Christmas , 2:49.435,,,,,,Christmas
Disneyland Hotel,"Disneyland Hotel Holiday v.1, Fantasy Tower Lobby Holiday v.1",,,3,Rudolph the Red-Nosed Reindeer,Arthur Fiedler & the Boston Pops Orchestra,A Christmas Festival , 2:08.290,,,,,,Christmas
Disneyland Hotel,"Disneyland Hotel Holiday v.1, Fantasy Tower Lobby Holiday v.1",,,4,White Christmas,The Eden Symphony Orchestra,Classical Christmas , 2:38.717,,,,,,Christmas
Disneyland Hotel,"Disneyland Hotel Holiday v.1, Fantasy Tower Lobby Holiday v.1",,,5,Frosty the Snowman,101 Strings Orchestra,Christmas With The 101 Strings Orchestra , 2:35.134,crossfade/overlap with next track,,,,,Christmas
Disneyland Hotel,"Disneyland Hotel Holiday v.1, Fantasy Tower Lobby Holiday v.1",,,6,Jingle Bells,Mantovani & His Orchestra & Sammes Chorus And Singers,The Ultimate Relaxation Christmas Album II , 1:52.068,,,,,,Christmas
Disneyland Hotel,"Disneyland Hotel Holiday v.1, Fantasy Tower Lobby Holiday v.1",,,7,Let It Snow,101 Strings Orchestra,Christmas With The 101 Strings Orchestra , 2:02.772,,,,,,Christmas
Disneyland Hotel,"Disneyland Hotel Holiday v.1, Fantasy Tower Lobby Holiday v.1",,,8,The Christmas Waltz,Ronnie Aldrich,Christmas with Ronnie Aldrich , 2:29.313,,,,,,Christmas
Disneyland Hotel,"Disneyland Hotel Holiday v.1, Fantasy Tower Lobby Holiday v.1",,,9,Silver Bells,Eugene Ormandy & the Philadelphia Orchestra,Joy to the World , 3:14.739,crossfade/overlap with next track,,,,,Christmas
Disneyland Hotel,"Disneyland Hotel Holiday v.1, Fantasy Tower Lobby Holiday v.1",,,10,Santa Claus is Coming to Town,Arthur Fiedler & the Boston Pops Orchestra,A Christmas Festival , 2:35.645,,,,,,Christmas
Disneyland Hotel,"Disneyland Hotel Holiday v.1, Fantasy Tower Lobby Holiday v.1",,,11,The Christmas Song (Chestnuts Roasting On An Open Fire),Doc Severinsen,Merry Christmas from Doc Severinsen and The Tonight Show Orchestra , 3:58.028,crossfade/overlap with next track,,,,,Christmas
Disneyland Hotel,"Disneyland Hotel Holiday v.1, Fantasy Tower Lobby Holiday v.1",,,12,The Twelve Days of Christmas,Philadelphia Brass Ensemble,A Festival of Carols in Brass , 3:43.466,,,,,,Christmas
Disneyland Hotel,"Disneyland Hotel Holiday v.1, Fantasy Tower Lobby Holiday v.1",,,13,Carol of the Bells,"Leonard Bernstein, New York Philharmonic",The Joy of Christmas, 0:51.656,"Edit points http://www.mediafire.com/download/yq1e6wahy862ov2/Disneyland_Hotel_Fantasy_Tower_holiday_loop_-_Carol_of_the_Bells_edits.flac. The album track has been edited to remove the audio between 00:00:28.909 and 00:00:39.399. In the loop track, that edit sounds like it starts with french horns but in the album track, the brass sounds more like trumpets. The loop track stops at 00:01:02.456 of the album track.",,,,,Christmas
Disneyland Hotel,"Disneyland Hotel Holiday v.1, Fantasy Tower Lobby Holiday v.1",,,14,We Wish You A Merry Christmas,Philadelphia Brass Ensemble,A Festival of Carols in Brass , 1:00.650,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",00:38:35.087,"Plays in the DTD area from 5AM to 8PM. Also played in the Esplanade for Christmas 2018 (possibly other years, but unverified). See MouseBits, Re: https://mousebits.com/smf/index.php?topic=9944.msg93350#msg93350.",1,It's The Most Wonderful Time Of The Year,Andy Williams,The Most Wonderful Time Of The Year,00:02:28.442,Loop starts silent gap of 1.623 secs.,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,2,Jingle Bells,Frank Sinatra,The Christmas Album,00:01:58.483,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,3,Here Comes Santa Claus (Right Down Santa Claus Lane),"The Andrews Sisters, Bing Crosby",Christmas,00:03:00.715,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,4,Sleigh Ride,Ella Fitzgerald,Ella Wishes You A Swinging Christmas,00:02:54.459,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,5,White Christmas,"The Drifters, Bill Pinckney, Clyde McPhatter",Clyde McPhatter & The Drifters,00:02:36.988,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,6,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,Coccole di Natale,00:01:53.905,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,7,Rudolph the Red-Nosed Reindeer (feat. Videocraft Chorus) [Finale],Burl Ives,Rudolph The Red-Nosed Reindeer,00:01:12.101,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,8,Deck the Halls,Nat King Cole,Merry Christmas From Nat King Cole,00:01:04.635,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,9,I Wish You A Merry Christmas,Bing Crosby,Bing Crosby's Christmas Classics,00:01:51.398,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,10,Happy Holiday/The Holiday Season,Andy Williams,The Andy Williams Christmas Album,00:02:34.718,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,11,Have Yourself a Merry Little Christmas,Ella Fitzgerald,Ella Wishes You A Swinging Christmas,00:02:53.800,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,12,Frosty The Snowman,Guy Lombardo & His Royal Canadians,White Christmas [Volume 4],00:02:31.406,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,13,Santa Claus Is Comin' to Town,Frank Sinatra,Christmas With Sinatra And Friends,00:02:32.931,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,14,A Holly Jolly Christmas,Burl Ives,Have A Holly Jolly Christmas,00:02:11.209,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,15,A Marshmallow World,Dean Martin,Making Spirits Bright,00:02:43.228,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,16,Winter Wonderland,Peggy Lee,Christmas With Peggy Lee,00:01:51.457,,,,,,Christmas
"Downtown Disney District, Esplanade-Main Gates","DTDD Daytime Holiday, Esplanade Holiday v.2",,,17,It's Beginning to Look a Lot Like Christmas,Johnny Mathis,Christmas Eve With Johnny Mathis,00:02:13.595,,,,,,Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,00:52:42.096,"This loop played from 8PM to 2AM at Downtown Disney. See MouseBits, Re: https://mousebits.com/smf/index.php?topic=9899.msg93024#msg93024.",1,Let It Snow! Let It Snow! Let It Snow!,The Glenn Miller Orchestra,Holiday Masters: Swingin' Christmas,00:03:08.661,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,2,The Nutcracker Suite,Les Brown & His Band of Renown,The Best Christmas Album on Earth Vol. 2,00:06:50.553,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,3,Sleigh Ride,Lester Lanin,The Classic Christmas Album,00:02:52.123,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,4,Jingle Bells,Mora's Modern Rhythmists,Goblin Market,00:02:40.422,Verified (correct album listed),,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,5,Winter Wonderland,Ralph Flanagan Orchestra,A Very Merry Christmas,00:02:36.597,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,6,Blue Christmas [Big Band Christmas Version],"Chris McDonald, The Chris McDonald Orchestra",In The Mood For Christmas,00:04:16.588,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,7,March Of The Toys,Holiday Lounge Players,Retro Christmas Party (partial),00:03:16.596,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,8,Savoy Christmas Medley,Ray Noble,Vintage Christmas,00:03:23.784,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,9,Little Drummer Boy [Big Band Christmas Version],"Chris McDonald, The Chris McDonald Orchestra",In The Mood For Christmas,00:03:19.193,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,10,Frosty the Snowman,The Glenn Miller Orchestra,A Very Special Christmas,00:03:59.290,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,11,White Christmas,The Les Rogers Orchestra,Big Band Christmas,00:02:53.546,Verified (correct album listed),,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,12,I'll Be Home for Christmas,The Les Rogers Orchestra,Big Band Christmas,00:02:53.837,Verified (correct album listed),,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,13,"Rudolph, the Red-Nosed Reindeer",Lester Lanin,The Classic Christmas Album,00:02:30.973,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,14,The Skaters' Waltz (In Swingtime),Bob Crosby,Christmas [Boardwalk Empire Era],00:02:54.839,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,15,Santa Claus Is Coming to Town,Lester Lanin,The Classic Christmas Album,00:02:07.313,,,,,"November 1, 2017 → January 1, 2019",Christmas
Downtown Disney District,DTDD Nighttime Holiday v.1,,,16,Winter Wonderland,The Les Rogers Orchestra,Big Band Christmas,00:02:56.171,Verified (correct album listed),,,,"November 1, 2017 → January 1, 2019",Christmas
