Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,District/Neighborhood,Holiday/Special Event,Land,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
Thank God I'm a Country Boy,The Original Dueling Banjos,,CMH Records,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,The Nashville Superpickers,20,
Black Mountain Rag,Unknown,,Flying Fish,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,,6,Unknown track origin
Agile N.,The Essential Leo Kottke Collection,,Capitol,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,Leo Kottke,8,
Under The Double Eagle,Whiskey Before Breakfast,,Rounder,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,Norman Blake,3,
This Land Is Your Land (Instrumental),This Land is Your Land: An All-American Children’s Folk Classic,,Rounder,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,"The Bountiful Valley Farm / Bountiful Valley Farmers Market loop played throughout the Bountiful Valley Farm district with park opening in 2001, particularly near the Caterpillar and agricultural displays, Sam Andreas Shakes and the Bountiful Valley Farmers Market quick-service location. After the opening of “a bug’s land”, it could only be heard near the Bountiful Valley Farmers Market until it went quiet by 2007/2008. The last traces of the Bountiful Valley Farm district disappeared in 2010 with the construction of Cars Land. See Magic Music user Progressland’s post https://community.magicmusic.net/threads/disneyland-music-loops.17/post-146 (Magic Music, 2002), and https://web.archive.org/web/20070404003849/http://disneymusicloops.tripod.com/dlr/dlr-abl-fm.html. Also MouseBits, https://mousebits.com/smf/index.php?topic=9001.msg85969#msg85969 and https://mousebits.com/smf/index.php?topic=7316.msg98847#msg98847.",Unknown,,"Woody Guthrie, Arlo Guthrie",1,
The Talking,Moving Pictures,,Rounder,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,Russ Barenberg,16,
Magic Foot,Moving Pictures,,Rounder,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,Russ Barenberg,23,
Buckaroo,The Essential Leo Kottke Collection,,Capitol,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,Leo Kottke,2,
"Land, 'Listen to the Land' #4",Walt Disney World Forever,,,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,,18,
Man of Constant Sorrow,Song of the Hills: Instrumental Impressions Of Appalachian Classics,,Shanachie,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,Eric Weissberg,5,
Air Proofing,The Essential Leo Kottke Collection,,Capitol,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,Leo Kottke,10,
Fisher's Hornpipe,Bluegrass Breakdown: 14 Instrumentals,,Easydisc,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,Wyatt Rice,15,
Red Apple Rag,No Hurry,,New Rounder,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,Scott Nygaard,11,
Goodbye Liza Jane,Bluegrass Breakdown: 14 Instrumentals,,Easydisc,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,Bill Evans,17,
Fiddler's Dram/Whiskey Before Breakfast,Whiskey Before Breakfast,,Rounder,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,Norman Blake,14,
"Land, 'Turkey in the Straw'",Walt Disney World Forever,,,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,,13,
Footprints in the Snow,Song of the Hills: Instrumental Impressions Of Appalachian Classics,,Shanachie,,,Bountiful Valley Farm,,Golden State,Bountiful Valley Farm,,,,"Bill Keith, Tony Trischka, Eric Weissberg, Kenny Kosek, Stacy Phillips, Molly Mason",22,
Main Title,The Last Starfighter: Original Motion Picture Soundtrack,,,,"February 8, 2001 → August 1, 2011",Condor Flats,,Golden State,Condor Flats v.1,"This loop played in Condor Flats from February 8, 2001 until August 2011. It is the first of two Condor Flats loops. Tracklist compiled by 772pilot based on his reference recording. There are several edits among the tracks. See MouseBits, https://mousebits.com/smf/index.php?topic=5119.msg38127#msg38127 (2010) and Magic Music, https://community.magicmusic.net/playlists/condor-flats.23/ (2011).",00:44:36.613,1:44.751,Craig Safan,1,Edited to include start - 1:45.086
The Guns of Navarone,"Cinema Gala, Vol. 1: World War 2 Films",,,,"February 8, 2001 → August 1, 2011",Condor Flats,,Golden State,Condor Flats v.1,,,3:08.769,"London Festival Orchestra, Stanley Black",13,Edited to include 0:02.513 - end
Midway March,I Love a Parade,,,,"February 8, 2001 → August 1, 2011",Condor Flats,,Golden State,Condor Flats v.1,,,4:06.951,John Williams/Boston Pops,2,
"The Blue Max Suite - Overture ",Goldsmith Conducts Goldsmith,,,,"February 8, 2001 → August 1, 2011",Condor Flats,,Golden State,Condor Flats v.1,,,2:15.761,The City of Prague Philharmonic & Jerry Goldsmith,9,Edited to include 0:01.190-end
633 Squadron,"Cinema Gala, Vol. 1: World War 2 Films",,,,"February 8, 2001 → August 1, 2011",Condor Flats,,Golden State,Condor Flats v.1,,,3:10.843,"London Festival Orchestra, Stanley Black",7,Edited to include 0:01.913-end
The Parachutes,Air Force One: Original Motion Picture Soundtrack,,,,"February 8, 2001 → August 1, 2011",Condor Flats,,Golden State,Condor Flats v.1,,,2:13.967,Jerry Goldsmith,3,Abrupt transition into next track at 1:47.536 of source track.
Music from “Space Camp”,The Ultimate Movie Music Collection,,,,"February 8, 2001 → August 1, 2011",Condor Flats,,Golden State,Condor Flats v.1,,,3:44.211,Cincinnati Pops Orchestra & Erich Kunzel,10,Edited to include start - 3:44.344
"The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity",Holst: the Planets,,,,"February 8, 2001 → August 1, 2011",Condor Flats,,Golden State,Condor Flats v.1,,,7:05.546,Berliner Philharmoniker & Herbert von Karajan,11,Edited to include start - 2:39.127; 2:58.236 - End
"Welcome Aboard, Sir",Air Force One: Original Motion Picture Soundtrack,,,,"February 8, 2001 → August 1, 2011",Condor Flats,,Golden State,Condor Flats v.1,,,1:01.518,Jerry Goldsmith,4,Quick fade in at 0:40.197 of source track.
Liberty Fanfare,American Jubilee,,,,"February 8, 2001 → August 1, 2011",Condor Flats,,Golden State,Condor Flats v.1,,,4:15.576,Cincinnati Pops Orchestra & Erich Kunzel,6,Edited to include 0:01.984 - end
Big Victory March; Alex Returns,The Last Starfighter: Original Motion Picture Soundtrack,,,,"February 8, 2001 → August 1, 2011",Condor Flats,,Golden State,Condor Flats v.1,,,1:51.069,Craig Safan,8,Edited to include start - 1:51.410
